"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"4","4","Gift of Paradise","akh","Good (Lightly Played)","English","","","2025-01-05 23:04:31.597000","167","False","False","0.05"
"2","2","Gnaw to the Bone","isd","Near Mint","English","","","2025-01-05 23:46:45.000000","183","False","False","0.17"
"2","2","Gnaw to the Bone","plst","Near Mint","English","","","2025-01-05 23:57:35.337000","ISD-183","False","False","0.69"
"4","4","Goblin Bushwhacker","zen","Near Mint","English","","","2025-01-05 19:30:24.200000","125","False","False","2.29"
"1","1","Goblin Charbelcher","mrd","Good (Lightly Played)","English","","","2025-01-05 06:58:44.513000","176","False","False","1.03"
"3","3","Goblin Electromancer","rtr","Near Mint","English","","","2025-01-05 22:52:49.240000","163","False","False","0.09"
"1","1","Golgari Guildgate","rtr","Good (Lightly Played)","English","","","2025-01-05 06:35:24.603000","239","False","False","0.20"
"1","1","Gorilla Shaman","all","Near Mint","English","","","2025-01-05 05:29:24.453000","72b","False","False","0.99"
"4","4","Grapeshot","tsp","Good (Lightly Played)","English","","","2025-01-05 22:27:45.133000","160","False","False","0.29"
"2","2","Great Furnace","c21","Near Mint","English","","","2025-01-05 05:53:29.620000","292","False","False","0.69"
"2","2","Great Furnace","c18","Good (Lightly Played)","English","","","2025-01-05 05:46:41.030000","250","False","False","0.63"
"4","4","Growth Spiral","rna","Near Mint","English","","","2025-01-05 07:10:31.483000","178","False","False","0.25"
"1","1","Gruul Signet","plst","Near Mint","English","","","2025-01-05 05:29:55.973000","C16-256","False","False","0.69"
"4","4","Guild Summit","grn","Near Mint","English","","","2025-01-05 07:10:43.117000","41","False","False","0.25"
"4","4","Gurmag Angler","frf","Good (Lightly Played)","English","","","2025-01-05 03:58:30.270000","72","False","False","0.20"
"4","4","Gut Shot","mm2","Near Mint","English","","","2025-01-05 22:53:07.220000","117","False","False","0.24"
"4","4","Guttersnipe","rtr","Near Mint","English","","","2025-01-05 22:57:59.433000","98","False","False","0.14"
"1","1","Haunted Fengraf","c14","Good (Lightly Played)","English","","","2025-01-05 05:37:24.953000","300","False","False","0.20"
"1","1","Haunted Mire","dmu","Near Mint","English","","","2025-01-05 23:58:10.683000","248","False","False","0.39"
"2","2","Haze of Pollen","akh","Near Mint","English","","","2025-01-05 06:50:48.350000","171","False","False","0.25"
"4","4","Haze of Pollen","akh","Good (Lightly Played)","English","","","2025-01-05 23:04:43.407000","171","False","False","0.05"
"2","2","Haze of Pollen","akh","Good (Lightly Played)","English","","","2025-01-05 06:59:17.137000","171","False","False","2.00"
"4","4","Herbal Poultice","lrw","Good (Lightly Played)","English","","","2025-01-05 20:15:28.010000","257","False","False","0.16"
"4","4","Hieroglyphic Illumination","akh","Good (Lightly Played)","English","","","2025-01-05 22:58:37.383000","57","False","False","0.10"
"4","4","Hornet Queen","m15","Good (Lightly Played)","English","","","2025-01-05 07:08:14.553000","178","False","False","2.39"
"4","4","Hydroblast","ice","Near Mint","English","","","2025-01-05 20:00:49.507000","72","False","False","1.29"
"3","3","Ice Tunnel","khm","Near Mint","English","","","2025-01-05 03:42:29.850000","262","False","False","1.49"
"1","1","Ichor Wellspring","mbs","Good (Lightly Played)","English","","","2025-01-05 05:47:07.033000","110","False","False","0.23"
"1","1","Ichor Wellspring","c21","Near Mint","English","","","2025-01-05 05:54:49.147000","245","False","False","0.25"
"3","3","Impact Tremors","dtk","Near Mint","English","","","2025-01-05 19:30:46.723000","140","False","False","1.29"
"2","2","Incinerate","m12","Played","English","","","2025-01-05 23:13:04.623000","146","False","False","0.10"
"2","2","Incinerate","10e","Good (Lightly Played)","English","","","2025-01-05 23:21:23.530000","213","False","False","0.13"
"4","4","Ingenious Infiltrator","mh1","Good (Lightly Played)","English","","","2025-01-05 23:44:46.057000","204","False","False","1.72"
"1","1","Into the Wilds","m14","Good (Lightly Played)","English","","","2025-01-05 06:36:13.880000","180","False","False","0.39"
"3","3","Into the Wilds","m14","Near Mint","English","","","2025-01-05 06:26:19.383000","180","False","False","0.49"
"1","1","Invasion of Ikoria // Zilortha, Apex of Ikoria","mom","Near Mint","English","","","2025-01-05 23:44:28.827000","190","False","False","6.44"
"1","1","Invasion of Ikoria // Zilortha, Apex of Ikoria","mom","Near Mint","English","","","2025-01-05 23:43:27.517000","190","False","False","6.73"
"1","1","Invasion of Ikoria // Zilortha, Apex of Ikoria","mom","Good (Lightly Played)","English","","","2025-01-05 23:43:52.483000","190","False","False","6.81"
"1","1","Invasion of Ikoria // Zilortha, Apex of Ikoria","mom","Good (Lightly Played)","English","","","2025-01-05 23:42:28.790000","190","False","False","7.75"
"4","4","Irrigated Farmland","akh","Near Mint","English","","","2025-01-05 22:58:58.107000","245","False","False","3.05"
"9","9","Island","8ed","Played","English","","","2025-01-05 03:06:58.150000","337","False","False",""
"1","1","Island","6ed","Played","English","","","2025-01-05 03:06:34.403000","338","False","False",""
"2","2","Izzet Signet","gpt","Good (Lightly Played)","English","","","2025-01-05 05:37:56.757000","152","False","False","0.63"
"1","1","Kiora, the Crashing Wave","ddo","Good (Lightly Played)","English","foil","","2025-01-05 06:37:12.830000","34","False","False","3.59"
"3","3","Krark-Clan Shaman","mrd","Near Mint","English","","","2025-01-05 05:55:28.147000","98","False","False","0.79"
"4","4","Lava Dart","mh1","Near Mint","English","","","2025-01-05 07:19:51.670000","134","False","False","0.25"
"4","4","Lay of the Land","m14","Near Mint","English","","","2025-01-05 06:51:15.490000","183","False","False","0.25"
"4","4","Leechridden Swamp","ddr","Near Mint","English","","","2025-01-05 23:34:44.920000","65","False","False","0.26"
"4","4","Lightning Bolt","m11","Good (Lightly Played)","English","","","2025-01-05 20:05:26.843000","149","False","False","2.79"
"4","4","Lightning Bolt","m11","Good (Lightly Played)","English","","","2025-01-05 19:36:37.673000","149","False","False","3.19"
"4","4","Lofty Denial","m21","Near Mint","English","","","2025-01-05 06:07:40.227000","56","False","False","0.25"
"3","3","Lotleth Giant","cmm","Near Mint","English","","","2025-01-05 23:58:23.677000","171","False","False","0.35"
"4","4","Magmatic Sinkhole","mh1","Near Mint","English","","","2025-01-05 07:20:05.333000","135","False","False","0.25"
"4","4","Makeshift Munitions","xln","Near Mint","English","","","2025-01-05 06:08:55.713000","151","False","False","0.25"
"4","4","Malevolent Rumble","mh3","Near Mint","English","","","2025-01-05 23:58:42.667000","161","False","False","0.59"
"1","1","Mana Leak","m11","Good (Lightly Played)","English","","","2025-01-05 22:59:51.970000","62","False","False","0.37"
"1","1","Mana Leak","ddn","Good (Lightly Played)","English","","","2025-01-05 22:59:36.050000","64","False","False","0.35"
"2","2","Maze's End","pdgm","Good (Lightly Played)","English","foil","","2025-01-05 06:38:04.937000","152★","False","False","1.19"
"4","4","Merfolk Trickster","dom","Near Mint","English","","","2025-01-05 06:09:16.400000","56","False","False","1.29"
"3","3","Mesmeric Fiend","tor","Played","English","","","2025-01-06 00:04:03.900000","69","False","False","1.25"
"1","1","Mindcrank","nph","Good (Lightly Played)","English","","","2025-01-05 23:00:15.467000","144","False","False","4.84"
"3","3","Mindcrank","nph","Good (Lightly Played)","English","","","2025-01-05 23:00:41.510000","144","False","False","3.56"
"4","4","Mist-Cloaked Herald","rix","Near Mint","English","","","2025-01-05 06:09:35.903000","43","False","False","0.25"
"2","2","Mistvault Bridge","mh2","Good (Lightly Played)","English","","","2025-01-05 05:47:26.643000","249","False","False","0.47"
"4","4","Mistvault Bridge","mh2","Near Mint","English","","","2025-01-05 06:10:08.933000","249","False","False","0.49"
"3","3","Mizzium Mortars","rtr","Good (Lightly Played)","English","","","2025-01-05 23:01:03.607000","101","False","False","0.23"
"1","1","Mnemonic Wall","ths","Good (Lightly Played)","English","","","2025-01-05 05:38:39.937000","55","False","False","0.20"
"4","4","Muddle the Mixture","rav","Good (Lightly Played)","English","","","2025-01-05 23:01:29.250000","60","False","False","1.50"
"4","4","Mulldrifter","cmr","Near Mint","English","","","2025-01-05 05:30:18.223000","400","False","False","0.25"
"1","1","Myr Enforcer","hop","Good (Lightly Played)","English","","","2025-01-05 05:48:14.660000","120","False","False","0.63"
"3","3","Myr Enforcer","mma","Near Mint","English","","","2025-01-05 03:15:03.607000","209","False","False","0.35"
"4","4","Myr Superion","nph","Good (Lightly Played)","English","","","2025-01-05 19:37:06.650000","146","False","False","1.59"
"4","4","Naturalize","8ed","Near Mint","English","","","2025-01-05 07:00:44.863000","270","False","False","0.20"
"4","4","Nettle Drone","bfz","Good (Lightly Played)","English","","","2025-01-05 20:14:20.400000","131","False","False","0.13"
"4","4","Nevermore","isd","Near Mint","English","","","2025-01-05 06:26:54.613000","25","False","False","0.59"
"1","1","Nightmare","m10","Good (Lightly Played)","English","","","2025-01-05 19:37:25.843000","107","False","False","0.23"
"2","2","Nihil Spellbomb","som","Good (Lightly Played)","English","","","2025-01-05 03:58:46.533000","187","False","False","0.47"
"4","4","Ninja of the Deep Hours","bok","Good (Lightly Played)","English","","","2025-01-05 03:58:57.960000","44","False","False","0.79"
"4","4","Ninja of the Deep Hours","bok","Good (Lightly Played)","English","","","2025-01-05 20:06:02.637000","44","False","False","1.19"
"1","1","Nissa's Pilgrimage","ori","Near Mint","English","","","2025-01-05 06:52:04.963000","190","False","False","0.25"
"3","3","Oblivion Ring","m13","Good (Lightly Played)","English","","","2025-01-05 06:38:42.883000","22","False","False","0.23"
"3","3","Obstinate Baloth","m11","Good (Lightly Played)","English","","","2025-01-05 07:01:44.603000","188","False","False","1.43"
"1","1","Okiba-Gang Shinobi","pca","Near Mint","English","","","2025-01-05 03:15:26.760000","35","False","False","0.69"
"1","1","Palace Siege","frf","Played","English","","","2025-01-05 23:30:57.827000","79","False","False","0.52"
"1","1","Palace Siege","c17","Near Mint","English","","","2025-01-05 23:30:12.850000","119","False","False","0.49"
"4","4","Phylactery Lich","m19","Near Mint","English","","","2025-01-05 23:31:17.063000","113","False","False","0.18"
"4","4","Ponder","m10","Good (Lightly Played)","English","","","2025-01-05 20:06:21.630000","68","False","False","1.99"
"1","1","Possessed Portal","5dn","Near Mint","English","","","2025-01-05 07:15:07.560000","144","False","False","2.99"
"3","3","Preordain","m11","Good (Lightly Played)","English","","","2025-01-05 20:08:05.173000","70","False","False","3.19"
"4","4","Preordain","cmr","Near Mint","English","","","2025-01-05 03:16:23.420000","84","False","False","0.79"
"1","1","Preordain","m11","Played","English","","","2025-01-05 20:09:05.897000","70","False","False","2.79"
"4","4","Priest of Urabrask","nph","Good (Lightly Played)","English","","","2025-01-05 19:37:52.020000","90","False","False","0.20"
"4","4","Prophetic Prism","gtc","Near Mint","English","","","2025-01-05 05:31:27.157000","234","False","False","0.25"
"4","4","Prophetic Prism","roe","Good (Lightly Played)","English","","","2025-01-05 05:49:10.067000","222","False","False","0.20"
"4","4","Pulse of Murasa","ogw","Near Mint","English","","","2025-01-05 05:31:50.473000","141","False","False","0.25"
"4","4","Pyroblast","ice","Near Mint","English","","","2025-01-05 20:01:10.117000","213","False","False","2.99"
"1","1","Rakdos Guildgate","rtr","Good (Lightly Played)","English","","","2025-01-05 06:39:28.487000","244","False","False","0.20"
"3","3","Rampant Growth","m12","Near Mint","English","","","2025-01-05 06:52:42.027000","190","False","False","0.29"
"1","1","Rampant Growth","c16","Good (Lightly Played)","English","","","2025-01-05 07:04:03.997000","161","False","False","0.28"
"4","4","Ravenous Rats","ddj","Near Mint","English","","","2025-01-05 23:33:52.287000","49","False","False","0.19"
"4","4","Ray of Revelation","jud","Good (Lightly Played)","English","","","2025-01-05 23:54:43.433000","20","False","False","0.31"
"2","2","Read the Bones","c14","Near Mint","English","","","2025-01-05 23:31:59.330000","158","False","False","0.07"
"2","2","Read the Bones","ths","Good (Lightly Played)","English","","","2025-01-05 19:38:07.180000","101","False","False","0.20"
"1","1","Reaping the Graves","scg","Good (Lightly Played)","English","","","2025-01-05 05:49:32.303000","72","False","False","1.03"
"4","4","Reckless Bushwhacker","ogw","Near Mint","English","","","2025-01-05 19:31:05.230000","116","False","False","0.59"
